
World Rank                   ,  Institution                   ,  Country                    
601-650  ,   University of New Hampshire   , USA    
601-650  ,   Clarkson University   , USA    
601-650  ,   The New School   , USA    
601-650  ,   University of Houston   , USA    
601-650  ,   University of Alabama   , USA    
601-650  ,   Tallinn University of Technology   , Estonia    
601-650  ,   Ural Federal University   , Russia    
601-650  ,   University of Johannesburg   , South Africa    
601-650  ,   National University of Science and Technology MISiS   , Russia    
601-650  ,   Auezov South Kazakhstan State University   , Kazakhstan    
601-650  ,   University of Baghdad   , Iraq    
651-700  ,   University of Sharjah   , United Arab Emirates    
651-700  ,   Victoria University - Melbourne   , Australia    
651-700  ,   Sofia University   , Bulgaria    
651-700  ,   Federal University of S�o Carlos   , Brazil    
651-700  ,   Memorial University of Newfoundland   , Canada    
651-700  ,   University of Windsor   , Canada    
651-700  ,   University Adolfo Ib��ez   , Chile    
651-700  ,   Beijing University of Technology   , China    
651-700  ,   University of La Sabana   , Colombia    
651-700  ,   Palacky University   , Czech Republic    
651-700  ,   Brno University of Technology   , Czech Republic    
651-700  ,   University of Giessen   , Germany    
651-700  ,   University of Rostock   , Germany    
651-700  ,   University of Salamanca   , Spain    
651-700  ,   University of Athens   , Greece    
651-700  ,   University of Crete   , Greece    
651-700  ,   University of Patras   , Greece    
651-700  ,   University of Zagreb   , Croatia    
651-700  ,   University of Debrecen    , Hungary    
651-700  ,   Dublin Institute of Technology   , Ireland    
651-700  ,   National University of Ireland - Maynooth   , Ireland    
651-700  ,   University of Haifa   , Israel    
651-700  ,   University of Calcutta   , India    
651-700  ,   University of Milan - Bicocca   , Italy    
651-700  ,   University of Modena   , Italy    
651-700  ,   Jordan University of Science and Technology   , Jordan    
651-700  ,   Gifu University   , Japan    
651-700  ,   Osaka City University   , Japan    
651-700  ,   Osaka Prefecture University   , Japan    
651-700  ,   Kyungpook National University   , South Korea    
651-700  ,   Yeungnam University   , South Korea    
651-700  ,   Lebanese American University   , Lebanon    
651-700  ,   University of Latvia   , Latvia    
651-700  ,   An�huac University   , Mexico    
651-700  ,   Imam Muhammad Ibn Saud Islamic University   , Saudi Arabia    
651-700  ,   Comenius University in Bratislava   , Slovakia    
651-700  ,   Istanbul Technical University   , Turkey    
651-700  ,   Coventry University   , UK    
651-700  ,   London Metropolitan University   , UK    
651-700  ,   University of Plymouth   , UK    
651-700  ,   University Central de Venezuela   , Venezuela    
651-700  ,   University of KwaZulu-Natal   , South Africa    
651-700  ,   University of Denver   , USA    
651-700  ,   Louisiana State University   , USA    
651-700  ,   Stevens Institute of Technology   , USA    
651-700  ,   State University of New York at Albany   , USA    
651-700  ,   Temple University   , USA    
651-700  ,   Brigham Young University   , USA    
651-700  ,   George Mason University   , USA    
651-700  ,   Virginia Commonwealth University   , USA    
651-700  ,   Ibero-American University   , Mexico    
651-700  ,   Kazakh-British Technical University   , Kazakhstan    
701-916  ,   National University de Cuyo   , Argentina    
701-916  ,   National University de Mar del Plata   , Argentina    
701-916  ,   National University de Rosario   , Argentina    
701-916  ,   National University de Tucum�n   , Argentina    
701-916  ,   National Technological University   , Argentina    
701-916  ,   Abu Dhabi University   , United Arab Emirates    
701-916  ,   University of Klagenfurt   , Austria    
701-916  ,   University of Salzburg   , Austria    
701-916  ,   Australian Catholic University   , Australia    
701-916  ,   Charles Sturt University   , Australia    
701-916  ,   Edith Cowan University   , Australia    
701-916  ,   University of New England   , Australia    
701-916  ,   University of Southern Queensland   , Australia    
701-916  ,   Baku State University   , Azerbaijan    
701-916  ,   Khazar University   , Azerbaijan    
701-916  ,   Qafqaz University   , Azerbaijan    
701-916  ,   University of Dhaka   , Bangladesh    
701-916  ,   University of Bahrain   , Bahrain    
701-916  ,   Pontifical Catholic University of Rio Grande do Sul   , Brazil    
701-916  ,   State University de Londrina   , Brazil    
701-916  ,   Federal University Fluminense   , Brazil    
701-916  ,   Federal University of Bahia   , Brazil    
701-916  ,   Federal University of Pernambuco   , Brazil    
701-916  ,   Federal University of Santa Catarina   , Brazil    
701-916  ,   Federal University of Santa Maria   , Brazil    
701-916  ,   Federal University of Vi�osa   , Brazil    
701-916  ,   Federal University of Cear�   , Brazil    
701-916  ,   Federal University of Paran�   , Brazil    
701-916  ,   Rio de Janeiro State University   , Brazil    
701-916  ,   Toronto Metropolitan University   , Canada    
701-916  ,   University Austral de Chile   , Chile    
701-916  ,   University Diego Portales   , Chile    
701-916  ,   Federico Santa Mar�a Technical University   , Chile    
701-916  ,   University of Talca   , Chile    
701-916  ,   University of Valparaiso   , Chile    
701-916  ,   University Industrial de Santander   , Colombia    
701-916  ,   Universidad del Norte   , Colombia    
701-916  ,   University of Rosario   , Colombia    
701-916  ,   University of Valle del Cauca   , Colombia    
701-916  ,   University Latinoamericana de Ciencia y Tecnolog�a   , Costa Rica    
701-916  ,   University of Havana   , Cuba    
701-916  ,   Pontifical Catholic University of Ecuador   , Ecuador    
701-916  ,   University San Francisco de Quito   , Ecuador    
701-916  ,   Ain Shams University   , Egypt    
701-916  ,   Al Azhar University   , Egypt    
701-916  ,   Alexandria University   , Egypt    
701-916  ,   University Rey Juan Carlos   , Spain    
701-916  ,   University of Castilla-La Mancha   , Spain    
701-916  ,   University of La Coru�a   , Spain    
701-916  ,   University of Murcia   , Spain    
701-916  ,   University Charles-de-Gaulle - Lille III   , France    
701-916  ,   University Jean Moulin - Lyon III   , France    
701-916  ,   University Lumi�re - Lyon II   , France    
701-916  ,   Univ Paris Ouest Nanterre La D�fense   , France    
701-916  ,   University Paul Val�ry - Montpellier III   , France    
701-916  ,   University of Caen Normandy   , France    
701-916  ,   University of Cergy-Pontoise   , France    
701-916  ,   University of Nantes   , France    
701-916  ,   University of Poitiers   , France    
701-916  ,   University of Toulouse - Jean Jaur�s   , France    
701-916  ,   Toulouse 1 University Capitole   , France    
701-916  ,   University of Droit et de la Sante - Lille II   , France    
701-916  ,   University of Ghana   , Ghana    
701-916  ,   Athens University of Economics and Business   , Greece    
701-916  ,   Budapest University of Technology and Economics   , Hungary    
701-916  ,   University of Pecs   , Hungary    
701-916  ,   Airlangga University   , Indonesia    
701-916  ,   Bogor Agricultural University (IPB University)   , Indonesia    
701-916  ,   Diponegoro University   , Indonesia    
701-916  ,   Muhammadiyah University of Surakarta   , Indonesia    
701-916  ,   Banaras Hindu University   , India    
701-916  ,   Panjab University   , India    
701-916  ,   University of Mumbai   , India    
701-916  ,   Savitribai Phule Pune University   , India    
701-916  ,   Shahid Beheshti University   , Iran    
701-916  ,   Roma Tre University   , Italy    
701-916  ,   University of Bari   , Italy    
701-916  ,   University of Brescia   , Italy    
701-916  ,   University of Catania   , Italy    
701-916  ,   University of Ferrara   , Italy    
701-916  ,   University of Genoa   , Italy    
701-916  ,   University of Palermo   , Italy    
701-916  ,   University of Perugia   , Italy    
701-916  ,   University of Siena   , Italy    
701-916  ,   University of Trieste   , Italy    
701-916  ,   University of Verona   , Italy    
701-916  ,   Aoyama Gakuin University   , Japan    
701-916  ,   Doshisha University   , Japan    
701-916  ,   Gunma University   , Japan    
701-916  ,   Niigata University   , Japan    
701-916  ,   Ochanomizu University   , Japan    
701-916  ,   Ritsumeikan University   , Japan    
701-916  ,   Saitama University   , Japan    
701-916  ,   Tokyo University of Science   , Japan    
701-916  ,   Shinshu University   , Japan    
701-916  ,   Tokai University   , Japan    
701-916  ,   Yamaguchi University   , Japan    
701-916  ,   Yokohama National University   , Japan    
701-916  ,   University of Nairobi   , Kenya    
701-916  ,   Chungnam National University   , South Korea    
701-916  ,   Dankook University   , South Korea    
701-916  ,   Konkuk University   , South Korea    
701-916  ,   Kuwait University   , Kuwait    
701-916  ,   Karaganda State Buketov University   , Kazakhstan    
701-916  ,   University of Colombo   , Sri Lanka    
701-916  ,   Kaunas University of Technology   , Lithuania    
701-916  ,   Vilnius Gediminas Technical University   , Lithuania    
701-916  ,   Vytautas Magnus University   , Lithuania    
701-916  ,   Meritorious Autonomous University of Puebla   , Mexico    
701-916  ,   National Polytechnic Institute    , Mexico    
701-916  ,   Metropolitan Autonomous University   , Mexico    
701-916  ,   Autonomous University of Nuevo Le�n   , Mexico    
701-916  ,   Autonomous University of Mexico State   , Mexico    
701-916  ,   Panamerican University   , Mexico    
701-916  ,   University of Guadalajara   , Mexico    
701-916  ,   University of Monterrey   , Mexico    
701-916  ,   University of las Am�ricas - Puebla   , Mexico    
701-916  ,   University of Technology - Mara   , Malaysia    
701-916  ,   University of Utara Malaysia   , Malaysia    
701-916  ,   National University of San Marcos   , Peru    
701-916  ,   University Peruana Cayetano Heredia   , Peru    
701-916  ,   De La Salle University   , Philippines    
701-916  ,   University of Santo Tomas   , Philippines    
701-916  ,   Lahore University of Management Sciences   , Pakistan    
701-916  ,   Quaid-i-Azam University   , Pakistan    
701-916  ,   University of Engineering and Technology Lahore   , Pakistan    
701-916  ,   University of Karachi   , Pakistan    
701-916  ,   University of Lahore   , Pakistan    
701-916  ,   Nicolaus Copernicus University   , Poland    
701-916  ,   University of Lodz   , Poland    
701-916  ,   University of Wroclaw   , Poland    
701-916  ,   University of Puerto Rico   , Puerto Rico    
701-916  ,   Catholic University of Portugal   , Portugal    
701-916  ,   Babes-Bolyai University   , Romania    
701-916  ,   University of Bucharest   , Romania    
701-916  ,   West University of Timisoara   , Romania    
701-916  ,   Novosibirsk State Technical University   , Russia    
701-916  ,   Plekhanov Russian University of Economics   , Russia    
701-916  ,   Voronezh State University   , Russia    
701-916  ,   King Faisal University   , Saudi Arabia    
701-916  ,   University of Maribor   , Slovenia    
701-916  ,   Kasetsart University   , Thailand    
701-916  ,   Khon Kaen University   , Thailand    
701-916  ,   King Mongkut's University of Technology Thonburi   , Thailand    
701-916  ,   Prince of Songkla University   , Thailand    
701-916  ,   Ankara University   , Turkey    
701-916  ,   Cukurova University   , Turkey    
701-916  ,   Gazi University Ankara   , Turkey    
701-916  ,   Hacettepe University   , Turkey    
701-916  ,   Istanbul University   , Turkey    
701-916  ,   Fu Jen Catholic University   , Taiwan    
701-916  ,   National Chengchi University   , Taiwan    
701-916  ,   Donetsk National University   , Ukraine    
701-916  ,   National Technical University (Kharkiv Polytechnic Institute)   , Ukraine    
701-916  ,   Sumy State University   , Ukraine    
701-916  ,   Makerere University   , Uganda    
701-916  ,   Nottingham Trent University   , UK    
701-916  ,   The Manchester Metropolitan University   , UK    
701-916  ,   The Robert Gordon University   , UK    
701-916  ,   University of Central Lancashire   , UK    
701-916  ,   University of East London   , UK    
701-916  ,   University of Greenwich   , UK    
701-916  ,   University of Hertfordshire   , UK    
701-916  ,   University of Huddersfield   , UK    
701-916  ,   University of Northumbria at Newcastle   , UK    
701-916  ,   University of Salford   , UK    
701-916  ,   Metropolitan University   , Venezuela    
701-916  ,   University Sim�n Bolivar   , Venezuela    
701-916  ,   University of the Andes - Venezuela   , Venezuela    
701-916  ,   University of Belgrade   , Serbia    
701-916  ,   North-West University   , South Africa    
701-916  ,   University of the Western Cape   , South Africa    
701-916  ,   University of Arkansas at Fayetteville   , USA    
701-916  ,   San Diego State University   , USA    
701-916  ,   University of San Diego   , USA    
701-916  ,   University of San Francisco   , USA    
701-916  ,   University of the Pacific   , USA    
701-916  ,   University of Central Florida   , USA    
701-916  ,   Georgia State University   , USA    
701-916  ,   Loyola University of Chicago   , USA    
701-916  ,   Kansas State University   , USA    
701-916  ,   Smith College   , USA    
701-916  ,   University of Montana   , USA    
701-916  ,   New Jersey Institute of Technology   , USA    
701-916  ,   Fordham University   , USA    
701-916  ,   Binghamton University   , USA    
701-916  ,   Kent State University   , USA    
701-916  ,   Miami University of Ohio   , USA    
701-916  ,   Ohio University   , USA    
701-916  ,   Oklahoma State University   , USA    
701-916  ,   University of Tulsa   , USA    
701-916  ,   Clemson University   , USA    
701-916  ,   Baylor University   , USA    
701-916  ,   Southern Methodist University   , USA    
701-916  ,   Utah State University   , USA    
701-916  ,   Marquette University   , USA    
701-916  ,   University of Wyoming   , USA    
701-916  ,   Auburn University   , USA    
701-916  ,   Beijing Jiaotong University   , China    
701-916  ,   University of Lorraine   , France    
701-916  ,   Ca' Foscari University of Venice   , Italy    
701-916  ,   Corvinus University of Budapest   , Hungary    
701-916  ,   Alexandru Ioan Cuza University    , Romania    
701-916  ,   National University of the South   , Argentina    
701-916  ,   Lobachevsky University   , Russia    
701-916  ,   University of Brawijaya   , Indonesia    
701-916  ,   University of Kufa   , Iraq    
701-916  ,   University of the Republic   , Uruguay    
701-916  ,   Belarusian National Technical University   , Belarus    
701-916  ,   Sepuluh Nopember Institute of Technology   , Indonesia    
701-916  ,   Kazakh Ablai Khan University of International Relations and World Languages   , Kazakhstan    
701-916  ,   National University of Costa Rica   , Costa Rica    
701-916  ,   Seoul National University of Science and Technology   , South Korea      
